company,address,city,telephone,type,description
PT. JAYA MAKMUR ABADI,Jl. Brigjend Katamso No. 2A,samarinda • Kalimantan Timur,625417802915/62541766315,bahan-bangunan,"15 tahun Melayani dengan hati, sejak 2005. 
PROMO SALE  #DIRUMAHAJA 
Marketing kami siap melayani dengan senang hati, pesanan via online 24 jam, Via WA/CALL. #DIRUMAHAJA 
Diskusikan apa yang anda butuhkan, dan berapa anggaran anda, kami siap berdiskusi untuk solusi. 
Garansi pelayanan & keamanan barang, harga termurah, garansi pemeliharaan."
PT.NUSA SEJAHTERA LOGAM PRATAMA,"JL. PANGERAN JAYAKARTA NO 129 KOMPLEK SENTRA PANGERAN JAYAKARTABLOK C22, JAKARTA PUSAT",JAKARTA BARAT •,62216245901/0216245907,bahan-bangunan,"PT. NUSA SEJAHTERA LOGAM PRATAMA jual spare part refrigeration dan AC dengan varian terlengkap dan berkualitas. Kami juga Jual Welding Stick TIG MIG, jual kawat las merk Harris, jual kompresor refrigerant dan AC, jual Freon R22 Refrigerant, jual product HVACR parts. Heating, ventilation, air conditioning, refrigeration."
PT. Patraniaga Global Teknindo,Jl. Raya Simpangan No 212 Pamahan Jati Reja Cikarang Timur17530,Cikarang Timur - Bekasi • Jawa Barat,081389213657,bahan-bangunan,PATRA NIAGA GLOBAL TEKNINDOPerusahaan yang bergerak di bidang industri dengan pelayanan meliputi-MCO Tools-Grinding Tools-Carbide ToolsKp Pamahan RT003 RW006 JATIREJA CIKARANG TIMUR KAB BEKASI JAWA BARATtelp/wa : 081389213657
Samudera Panendo Reksa,"Jl Cilepuk 2 No 40 Jatimakmur, Pondok Gede Bekasi Kota 17413
",Bekasi • Jawa Barat,02184975041,bahan-bangunan,"Samudera Panendo ReksaProdusen Sikat Industri Semua Bentuk, Fabrikasi & Machining"
Doktor Cool,Jakarta,Jakarta • DKI Jakarta,09213712312/72167312312,bahan-bangunan,"aaadr. Cool menjual segala perlengkapan pendingin, dll seperti sparepart AC, sparepart kulkas, sparepart dispenser, heater, oxygen, dll"
Sumber Lancar Abadi Metal,"Perumahan Mandiri Residence, Magnolia Cluster Blok G4 No.18, Jeruk Gamping - Kria",Sidoarjo • Jawa Timur,03199896926/0811270917,bahan-bangunan,
PT CAKRABUANA LANGGENG SUKSES,Mutiara Venezia Residence Blok C2 No 78 Dayeuh Cileungsi 16820082245428834,BOGOR • Jawa Barat,02129564344,bahan-bangunan,"PT Cakrabuana Langgeng Sukses bergerak di bidang perdagangan Gas Industri, Gas Oxygen, Jual Gas Nitrogen, Jual Gas Helium Portable, Gas EF6, Instalasi Gas Medis, Regulator, dan Specialty Gases. Kami merupakan distributor gas medis, wall suction unit medical, outlet oksigen Samsung, dan flowmeter Ohio Amvex terpercaya."
CV. Bakti,Jl. Rungkut Mapan Utara AA - 12,Surabaya • Jawa Timur,+62318706741,bahan-bangunan,CV. Bakti merupakan perusahaan yang bergerak dalam jasa pemasangan mesin-mesin keperluan pabrik. Salah satu produk yang kami sediakan yaitu Gravity Roller Conveyor. Kami menjamin semua pelayanan yang kami berikan sesuai dengan permintaan Anda.
PT. ANUGRAH PUTRA KENCANA,Pergudangan Segitigamas Pintu 6 UKM center Jl. Samsung IIc Blok C3i,Bekasi • Jawa Barat,02129094240/02122188991/02189327885/02189833430,bahan-bangunan,"PT. Anugrah Putra Kencana adalah perusahaan yang bergerak dalam bidang perdagangan umum seperti kimia industri, kimia analis, glassware ( alat-alat laboratorium ), laboratorium instrument, laboratorium equipment, furniture lab ( lemari Asam, wall bench, island bench, balance table, lemari kimia, lemari glassware ), timbangan analis, dan lain lain."
PT. TRIKARYA SEJAHTERA INTERINDO,"Jl. Gunung Andakasa Ruko Lucky Square Blok C, Lingkungan Penamparan
03619005181",Denpasar • Bali,03619005181/085100433796,bahan-bangunan,"PT. Trikarya Sejahtera Interindo merupakan Kontraktor Spesialis yang melayani pengadaan dan pemasangan produk-produk bahan bangunan, seperti Toilet Cubicle, Genteng Aspal, Partisi dan Atap Baja Ringan.
Didukung oleh staf yang telah berpengalaman dibidangnya, terbukti telah dipercaya untuk mengerjakan berbagai proyek prestisius."
PT. Langgeng Gumelar Sejati | Div. Stainless Steel dan Fiberglass | Industrial parts,"Jl. AMD No 88 Pondok Kacang Barat, Pondok Aren Tangerang",Tangerang • Banten,087779000633081210309526082122822285/087779000633,bahan-bangunan,"PT. Langgeng Gumelar Sejati adalah perusahaan yang bergerak dalam bidang pabrikasi, konstruksi, general trading dan kontraktor. Jasa-jasa kami diantaranya pabrikasi / konstruksi baja untuk Tower, bangunan mall, gedung, hotel, pabrik, gudang, smelter, lapangan futsal, ruko dll. PT. LGS juga menerima jasa pabrikasi, produksi, membuat, memasang dan menjual berbagai macam produk antara lain produk interior dan eksterior stainless, alat-alat kesehatan, lapisan dinding dari stainless, tiang stainless,, ornament stainless steel. Kitchen Equipment yang terbuat dari bahan stainless steel, Trolley bandara, Troli hotel, Troli pelabuhan, Tangki Stainless, Rak Stainless, tong sampah stainless, tempat sampah stainless pedal atau injak, seluncuran stainless, Railing Tangga Stainless, Kanopy Stainless, Rak Stainless, Pagar Stainless, balkon stainless, meja stainless, kursi stainless, kursi lipat stainless steel, meja dapur stainless, worktable stainless, meja kerja stainless, pintu lab stainless, pintu rumah sakit stainless, pintu stainless, kusen stainless, jendela stainless, pintu otomatis stainless, Cladding lift stainless, cover lift stainless dll. Setelah kami sukses dalam bidang pabrikasi produk stainless steel dan mild steel, kami melihat prospek dalam bidang fiberglass untuk memenuhi kebutuhan para customer dari perusahaan, instansi pemerintah dan lembaga pendidikan universitas sangat besar, maka kami menambah bidang divisi pekerjaan kami yaitu pabrikasi fiberglass. Produk Fiberglass adalah produk-produk yang terbuat dari bahan-bahan fiberglass. Kaca serat atau sering diterjemahkan menjadi serat gelas adalah kaca cair yang ditarik menjadi serat tipis dengan garis tengah sekitar 0,005 mm – 0,01 mm. Serat ini dapat dipintal menjadi benang atau ditenun menjadi kain, yang kemudian diresapi dengan resin sehingga menjadi bahan yang kuat dan tahan korosi. Produk Fiberglass seperti: Tempat sampah Fiber, Tong Sampah Fiber, Seluncur Fiber untuk wahana waterboom, Tangki Panel Fiber, Bak Fiber, Pelampung Fiber, Fiberglass Boat, perahu Fiberglass, Kapal Fiberglass, Kapal Ikan, depot air minum dari fiber, Dispenser fiber, Box motor fiber, waterpark fiber, furniture fiber, aquarium fiber, kolam fiber, septitank fiber, toilet fiber, arena bermain fiber, atap fiber, pot fiber, pot fiberglass, pelampung fiberglass, papan panjat tebing fiberglass, wallpaper fiberglass, dinding fiberglass, ducting fiberglass, kursi stadion fiberglass, kursi tunggu fiberglass, kursi bus fiberglass, meja fiberglass, meja kantin fiberglass, atap fiberglass, dll.Untuk Info lebih lanjut, silahkan contact marketing kami di: 087779000633 - 0812.1030.9526 - 082122822285 ( Ismail) email: stainlessindonesia@yahoo.com / fiberindonesia@yahoo.com / pabrikasi_stainless@yahoo.co.id Pin BB: 513D616B Whats Apps: 087779000633 Website: http://www.stainlesssteel.co.id/  | http://www.fiberindonesia.co.id/"
CV Aneka Steel Teknik,Randegan Sari  No.22,Gresik • Jawa Timur,085103655188/08128505068,bahan-bangunan,"Kami adalah Distributor Besi Surabaya dan Distributor Baja Ringan Surabaya. Kami memiliki Toko Besi Surabaya yang jual besi murah dengan harga besi yang sangat bersahabat di Kota Surabaya.

Cek produknya sekarang juga dan dapatkan penawaran harga terbaik dari kami. Tersedia berbagai macam jenis besi dengan kualitas terbaik dan terpercaya."
Liberton,Ruko Sentra Niaga 1 Blok C No 5 Harapan Indah 021-88880048 / 087875988558,Bekasi • Jawa Barat,02188880048/88882255,bahan-bangunan,"Informasi dan penawaran Glasswool hingga Rockwool, Acoustic board dan Acosutic ceiling, Lantai vinyl hingga Lantai kayu"
SAKA MEDICAL,"Green View @Cibinong Blok  H No. 3 Jl. KH. M Sanun, Harapan Jaya Cibinong Kab. Bogor",kab bogor • Jawa Barat,02183716924,bahan-bangunan,"Profil Saka Enginering 

Spesialis fabrikasi Peralatan rumah Sakit
Saka Enginering adalah sebuah perusahaan yang"
CV Catur Jaya Atap,Jl Putra Bangsa Anggaswangi Sukodono Sidoarjo,Surabaya • Jawa Timur,03199037054/082338065412/081235952384,bahan-bangunan,"CV CATUR JAYA ATAP merupakan perusahaan yang bergerak dibidang produksi barang besi baja, pagar brc terlengkap di wilayah Jawa Timur.
Kami siap mengirimkan produk ke seluruh wilayah Nasional.
Kepuasan customer adalah prioritas kami."
PT DJULI INDONESIA PERKASA,Ruko Mutiara Palem blok C5/17 Cengkareng - Jakarta,JAKARTA  • DKI Jakarta,622154358110/08118808088,bahan-bangunan,"PT DJULI INDONESIA PERKASA merupakan perusahaan agen Pancang Hammer di Indonesia. Kami menjual alat pancang, alat pemukul tiang, juga pondasi tiang pancang. Diesel Hammer yang Kami tawarkan sangat lengkap, termasuk Diesel Hammer Kodok dan Kami juga menjual Pilling Machine."
TEKAD MAKMUR,Komplek Cikapundung Electronic Centre Los EE10&EE41,Bandung • Jawa Barat,+622284460490/+6281220139761,bahan-bangunan,"TEKAD MAKMUR telah dipercaya oleh IMPORTIR, PRODUSEN, SUPPLIER terkemuka untuk menjadi AGEN RESMI sehingga HARGA dan KUALITAS yang ditawarkan adalah yang TERBAIK. Dengan berpedoman pada motto kami yaitu TERLENGKAP TERMURAH & TERCEPAT kami telah dipercaya untuk menjadi rekanan BANYAK PERUSAHAAN TERNAMA. Hubungi Kami : tmakmur06@yahoo.com"
KRISNA ENERGY,"Ruko Surya IntiPermata C7, JL HR Muhammad No 175",surabaya •,081333033657/08155123083,bahan-bangunan,"KRISNA ENERGI, DISTRIBUTOR Panel Surya, Power Plan Consultants.
JUAL PAKET TENAGA SURYA - Jual Panel Solarcell TERLENGKAP
 Addres : Sambiarum 51d/01 - SURABAYA
 tlp : ( 6281. 333.033.657 ) Hp: + 628155123083  
 ( tony okta) Email : krisna.mandiri@ yahoo.com WEBSITE PERUSAHAN KAMI : krisnaenergi.com  - krisnamandiri.com"
CV Anugerah Maju Bersama,CV Anugerah Maju Bersama Marketing Office :Jl. Prabu Kiansantang Komp. Grand Duta Ruko Amber I Blok A / 5 Tangerang Banten 15132Telp / Fax : 021-55722541Mobile : 081380009554 Email : mail@amb-indonesia.co.idmarketing1@amb-indonesia.co.id,Tangerang • Banten,+622155722541,bahan-bangunan,Lampu Explosion Proof- Lampu LED Explosion Proof Elektrikal for Hazzardous Area - Mining - Petrochemical - Oil and Gas - Pertamina - PLN Pembangkit Listrik Tenaga Gas (PLTG) - Chemical Industry - TBBM - Depot LPG - Drilling Gas dan Minyak Lampu Jalan Led Tenaga Surya - Solar Cell / Panel - Jual Lampu LED explosion proof qinsun warom
PT. PAVA MANDIRI,"Ruko Pasar Kita Pamulang Blok K9 No. 5Kecamatan Pamulang, Kota tangerang Selatan Banten.",TANGERANG SELATAN • Banten,082122587098,bahan-bangunan,PT. PAVA MANDIRI berdiri sejak tahun 2015 bergerak dalam bidang fabrikasi berbagai macam part industri yang berbahan POLYURETHANE
CV. CIPTA JAYA LESTARI,Jl. Kenjeran 300 A/7,Jawa Timur •,08123170863,bahan-bangunan,"Selamat Datang di Webiste Kami CV Cipta Jaya Lestari. Kami agen resmi Distributor Vertex Indonesia. Kami menjual mesin industri, seperti: jual mesin bubut Surabaya, jual mesin cnc bubut, jual mesin milling, jual mesin cnc milling dan jual mesin band saw. Percayakan kebutuhan Anda pada kami, karena kami selalu memberikan kualitas & harga terbaik."
CV GENDIS MAHAMERU,Rungkut Industri IX/10,Surabaya •,0318493759,bahan-bangunan,"CV GENDIS MAHAMERU DIDIRIRKAN PADA BULAN NOPEMBER 2010 DI SIDOARJO
BERLATARBELAKANG DARI PENGALAMAN YANG DIPEROLEH PENDIRI SETELAH LEBIH DARI 25 TAHUN BEKERJA DI PERUSAHAAN ELEVATOR DAN ESCALATOR . DENGAN KEINGINAN YANG KUAT UNTUK LEBIH ME"
SURYA DJAYA ABADI,"Ruko Sentra Bisnis Blok SS.11 No.11, Harapan Indah ",Bekasi •,622188866362/628159718766/628159614066/6281386119152,bahan-bangunan,"SURYA DJAYA ABADI Produsen & Distributor keperluan packaging murah, kualitas terjamin, serta pelayanan prima. Kami jual plastik wrapping Green Wrap, jual polyfoam sheet, jual bubble wrap sheet, roll, & bag, jual Lakban berkualitas, jual siku karton, jual kertas anti karat, bahan berkualitas sehingga memberikan perlindungan optimal pada barang Anda."
PT. Anugrah Rimba Artha,Raya Serang km 12.5 Ds. Sukadamai. Kp. Cirewed Rt.01/03 Cikupa,Tangerang • Banten,08118878866,bahan-bangunan,"PT. ANUGRAH RIMBA ARTHA melayani jasa pembuatan kitchen set hotel, jasa pembuatan dapur restaurant termurah, hingga jasa pembuatan kitchen dapur. Kami menjual mesin conveyor termurah dengan ragam mesin conveyor produksi terlengkap untuk segala keperluan dan kebutuhan industri, serta cooling heating di Jakarta."
ARJUNA FILM INDONESIA,"	jl.H Musa no 116  jakarta slatan 12260, Jakarta Indonesia",JAKARTA • DKI Jakarta,085215544202/087784322828,bahan-bangunan,"ARJUNA FILM INDONESIA PUSAT PENJUALAN STICKER SANBLAST DAN KACA FILM KACA FILM : kaca film riben dengan persentase kegelapan 20% - 80% , kaca film one way dengan persentase kegelapan 20% -80% , kaca film 3m , kaca film v-kool, kacafilm solarga"
CV Berdikari Lancar,"Bukit Citra Darmo blok CD No. C-21Klakahrejo, Benowo - Surabaya",surabaya • Jawa Timur,082331178001/081212887082/0317431220,bahan-bangunan,"Menjual segala jenis besi: Besi beton, wire mesh, Pipa besi, Plat hitam, Plat bordas, Bendrat, Paku, UNP, WF, H beam, INP, Kanal C, Hollow, Plat strip, Besi As, Virkan, bronjong, dll"
CV. Tritunggal Eka Perkasa,Jl. Marsma R. Iswahyudi No.66A RT.09Balikpapa,Balikpapan • Kalimantan Timur,085106833000,bahan-bangunan,"CV. TRITUNGGAL EKA PERKASA bergerak di bidang jasa aplikasi HILTI Anchor System sejak tahun 2004 dengan tenaga ahli yang telah tersertifikasi & berpengalaman. Kami adalah yang terbaik dalam bidang Aplikator Hilti Balikpapan, Hilti Balikpapan, Aplikator Hilti Kalimantan Timur, Hilti Kalimantan Timur, Aplikator Hilti Sulawesi, & Hilti Sulawesi."
PT. Mandiri Niagamas Cemerlang,"Jl. Raya Cikarang - Cibarusah No. 27 , Lippo Cikarang - Bekasi",Bekasi • Jawa Barat,081281323388/087789136128,bahan-bangunan,"PT. MANDIRI NIAGA MAS CEMERLANG adalah perusahan penyedia alat kebutuhan industri seperti Gland Packing, Sheet Packing, Rubber Packing, Conveyor Belt,  Industrial Machine, Machining, Heat Insulation, Rubber Lining, Casting, Mechanical Seal, Manufacturing, Elastomer Bearing Pad, Chemical Coal Additive, dll Mobile : 0812 8132 3388 // 0877 8913 6128"
CV PUNCAK ABADI MAKMUR,"Jln.Raya Pekayon no.99B, kranggan-mojokerto",Mojokerto • Jawa Timur,082257218886,bahan-bangunan,"CV Puncak Abadi Makmur sebagai supplier cat yang irit, awet dan tahan lama dan sudah ada selama 15 tahun bagi konsumen dan juga menyediakan support alat-alat bangunan komplit dan juga pipa pvc agar memberikan kepuasan bagi konsumen baik segi keuntungan maupun kepuasan. Konsumen puas dan profit tinggi kami sangat senang. Motto kami konsumen puas kami bangga."
WPC Wood Indonesia,Jalan Daan mogot km2 no.119 Ruko Aldiron Blok A 17-18 (300meter dari Rs. Royal Taruma)Grogol-Jakarta Barat,Jakarta Barat • DKI Jakarta,02129200969,bahan-bangunan,"WPC Wood Indonesia merupakan Pabrik Kayu WPC Jakarta & Supplier yang memproduksi serta memasarkan langsung produk lantai WPC harga murah. Kami jual lantai kayu kolam renang, jual kayu outdoor deck, dan jual lantai kayu WPC Jakarta. Kami produksi Kayu WPC Jakarta kualitas terbaik."
PT MEGA KAPUAS MULTINIAGA,JL. RE MARTADINATA BLOK D NO 18-19,Jakarta •,62-21-64701821/64701781/64701791/64701809,bahan-bangunan,"PT Mega Kapuas Multiniaga adalah perusahaan distribusi bahan bangunan yang telah berdiri dan memiliki pengalaman lebih dari 10 tahun. Pada awalnya kami hanyalah sebuah agen kayu bangunan kecil di Bekasi yang mulai di tahun 1996. Seiring berjalannya waktu, kini kami dipercaya oleh banyak pabrik untuk"
CV. DUTA MESH,"Office : Jln, Bhayangkara Raya No 10 ( Depan Kantor Puysdiklantas Polri )",Tangerang • Banten,02129861696/08127941128,bahan-bangunan,"SIAPA KAMI merupakan salah satu perusahaan pembuatan pagar dan merupakan perusahaan publik yang bergerak pada industri agrabisnis di indonesia.  
Anda bisa menghubungi marketing kontak kami di : Telepon : 021 29861696 Hp : 08127941128. MOTTO KAMI “ Berkembang Menuju Kesejahteraan Bersama“ adalah sesuatu yang benar untuk menjamin kesuksesan."
TEKNIK MANDIRI,"Jl. Setia Warga 8 No.40 Rt 10/11 Grogol Petamburan, Jakarta Barat",Jakarta Barat • DKI Jakarta,0215644267/081212143333,bahan-bangunan,"Teknik Mandiri adalah sebuah perusahaan yang khusus memfokuskan diri dalam memenuhi kebutuhan industri,Rumah tangga,Proyek dan Automotive di bidang produk mechanical, electrical,handtools,welding,safety,dan Lifting pneumatic Equipment  Visi: Menjadi yang terbaik di antara yang terbaik."
"DUA PUTRA PETIR, CV | Telp. 0859-9805-8351, 0898-3518-351, 0821-3355-5559, 0813-1845-5559",• Head Ofice : Bukit Palma C5/33 Citraland Utara Kec. Pakal Kota Surabaya Barat (Sememi - Benowo)• Phone : 0821-3355-5559 (Call/WhatsApp),SURABAYA • Jawa Timur,0317407380/082133555559/085998058351,bahan-bangunan,"Cv. Dua Putra Petir adaalah distributor segala macam kebutuhan besi dan baja , bahan bangunan dan alat-alat teknik , untuk infomasi lebih lanjut silakan hubungi kami di 031-7407380 atau 082133555559 / 08599-805-8351 atau email duaputrapetir@gmail.com, dengan senang hati kami akan melayani anda. salam sukses selalu , terimakasih"
DUA PUTRA PETIR,"ukit palma C5/33 Citraland Utara , Surabaya Barat ( Daerah Sememi - Benowo )",Surabaya •,082133555559/085998058351/0317407380,bahan-bangunan,"BismillahHirrohmanirrohim Dengan Hormat,
Seamangat Pagi, Kami akan memperkenalkan perusahaan kami, CV.DUA PUTRA PETIR( Your STEEL Partner) perusahaan yang bergerak dibidang bisnis besi dan baja. alat-alat teknik dan bahbahan bangunan dll. Berikut ini produk yang kami pasarkan yaitu : Besi , Baja Dan Stainless Steel, Kuningan, Tembaga, canopy, polycarbnate, pipa bulat stainless steel, pipa kotak stainless steel, holow, pipa holow, pipa ulir dan motif stainless steel dll - Besi beton polos dan ulir merk PERWIRA, Hanil, Master , API, PAS, KS, Bhirawa, HKHK, DPP, MS dll dan juga , plat hitam, plat kapal, plat lobang, plat lubang, perforated plate, plat streep, plat lubang, plat bordes, siku, wf, Hony comb,h-beam, pipa gas( hitam) , pipa air ( galvanis ) , pipa api, pipa .kotak, pipa oval, pipa stainless steel tetsura, pipa spiral, unp, cnp, inp, siku, .hollow, stalbus, rel kereta, assental, nako, kawat duri, kawat licin, kawat bronjong, pagar brc, expanded metal, wiremesh, tiang listrik, tiang telp, tiang lampu, ( dari berbagai merk dan ukuran ) , plat lubang kapsul/ oval, plat saringan, berbagai ukuran dan bahan, plat kuningan, plat timah, tembaga, bronze, as kuningan, expandit metal , Carbon Steel Bars ( besi/ galvanis/ Stainless Steel ) • Besi Beton Polos ( Plain Bars) • Besi Beton Ulir ( Deformed Bars) • Besi As ( Round Bars) Eq St.41 • Besi As ( Round Bars) Eq St.60, St.70, St.90 • As Besi Segi Empat ( Square Bars / Vierkan) • As Besi Segi Enam ( Hexagonal Bars) ( besi/ galvanis/ Stainless Steel ) • Silver Steel-Hollow Bars-Tool Steel • Strep Besi ( Flat Bars) • Band Eyzer ( Strapping band Plates) 2. Carbon Steel Pipes ( besi/ galvanis/ Stainless Steel ) • Pipa Baja Hitam ( Black Steel Pipes) • Pipa Air / Galvanis ( Galvanized Pipes) • Pipa Seamless ( Seamless Pipes) ASTM A 53 / A 106 / API 5 L • Pipa Pancang ( ERW Pipes) ASTM A 252 • Pipa Konstruksi STK-400 ( besi/ galvanis/ Stainless Steel )  . terimakasih.Hormat Kami ,Herry Gusmara, S.sos Direktur CV.DUA PUTRA PETIRYour Steel PartnerD/A : Bukit Palma Blok C5/33 Citraland Utara - SURABAYA"
PT DHARAYA,GRAHA DHARAYA Jl. Rawasari Barat No E 277Kel. Cempaka Putih Timur Kec. Cempaka Putih Jakarta Pusat 10510+62 812-8333-8788,Jakarta Pusat • DKI Jakarta,02142885887/081283338788,bahan-bangunan,"Suplier besar cable lug ( skun) , Bimetal, Connector, Brass cable gland, PVC Cable Gland, Pipe Conduit, Flexible Conduit, Heatshrink Tubing, Stress Control Tubing, BreakOut ( Celana Kabel) , Endcap, Termination, Sparable Connector ( Straight, Elbow, Tee) , Groundingrod / copperrod, Cable Marker, Cable Duct, Cable Ties, Clamp dan asesories cable"
